rouge1_f1,rouge1_precision,rouge1_recall,rouge2_f1,rouge2_precision,rouge2_recall,rougeL_f1,rougeL_precision,rougeL_recall,generated_length,reference_length,num_chunks,compression_ratio,token_efficiency
0.45484949832775917,0.48226950354609927,0.43037974683544306,0.1414141414141414,0.15,0.1337579617834395,0.24749163879598662,0.2624113475177305,0.23417721518987342,136,149,2.0,11.494318181818182,94.30974764967837
0.39087947882736157,0.44776119402985076,0.3468208092485549,0.08524590163934426,0.09774436090225563,0.0755813953488372,0.19543973941368079,0.22388059701492538,0.17341040462427745,132,169,2.0,6.166666666666667,84.16666666666667
0.3701067615658363,0.4094488188976378,0.33766233766233766,0.09318996415770608,0.10317460317460317,0.08496732026143791,0.18505338078291814,0.2047244094488189,0.16883116883116883,123,149,3.0,14.304635761589404,85.67454798331016
0.22983870967741932,0.3352941176470588,0.17484662576687116,0.012145748987854253,0.01775147928994083,0.009230769230769232,0.12096774193548387,0.17647058823529413,0.09202453987730061,164,311,6.0,20.009708737864077,86.44314868804665
0.4419047619047619,0.5345622119815668,0.37662337662337664,0.08795411089866158,0.10648148148148148,0.0749185667752443,0.17142857142857143,0.2073732718894009,0.1461038961038961,212,296,5.0,15.790513833992096,86.9172932330827
0.4845814977973568,0.5,0.4700854700854701,0.17256637168141592,0.1780821917808219,0.16738197424892703,0.1762114537444934,0.18181818181818182,0.17094017094017094,216,223,3.0,7.2047244094488185,87.52052545155993
0.47814910025706936,0.44285714285714284,0.5195530726256983,0.14987080103359174,0.13875598086124402,0.16292134831460675,0.18508997429305912,0.17142857142857143,0.2011173184357542,200,178,2.0,4.889763779527559,91.37096774193549
0.5429234338747099,0.582089552238806,0.508695652173913,0.20512820512820512,0.22,0.19213973799126638,0.26450116009280744,0.2835820895522388,0.24782608695652175,199,222,3.0,4.776371308016878,76.97077059344552
0.27440633245382584,0.3151515151515151,0.24299065420560748,0.03713527851458886,0.042682926829268296,0.03286384976525822,0.12664907651715038,0.14545454545454545,0.11214953271028037,157,201,2.0,1.530612244897959,87.91946308724832
0.4427083333333333,0.4187192118226601,0.4696132596685083,0.13612565445026178,0.12871287128712872,0.14444444444444443,0.1875,0.17733990147783252,0.19889502762430938,201,176,4.0,9.553648068669528,85.32853285328534
